Nome Produto,Preco Venda,Fulfillment,Em Catalogo,Mais Vendido (selo),ID Produto Catalogo
Parafusadeira E Furadeira De Impacto Wf 12k3.2 Wap Amarelo 127/220v 60hz,142.43,Sim,,Sim,
Parafusadeira E Furadeira De Impacto Wap Wf 12k4.2 Com Indicador De Nível De Bateria E Maleta Preto 12v 60hz,136.07,,,,
Lavadora De Alta Pressão 1400w 1300psi 300l/h Wap Ágil 1800 Amarelo/preto 127v 60 Hz,349,Sim,,Sim,
Extratora Portátil Spot Cleaner Power Brush 3 Em 1 Bivolt Wap Cinza E Verde 127/220v,449.9,Sim,,Sim,
Tenda Gazebo Sanfonada Articulada 2x2m Durável Proteção Ao Ar Livre Camping Praia Btg200m The Black Tools Azul,377,,,Sim,
Maquina Inversora Solda Mig 160a 3 Em 1 Tig Lift Acessórios Amarelo 220v,503.1,Sim,,Sim,
Esmerilhadeira Angular Bosch Professional Gws 700 Azul 710 W 220v 60 Hz,270.63,Sim,,,
Tp-link Tapo C500 Câmera De Segurança Wifi 1080p 360° Colorida Ip65 Branco,250.61,Sim,,Sim,
Bota Botina Segurança Bracol Sapato Coturno Nobuck Com Ca,129.9,Sim,,Sim,
Tp-link Deco X10(3-pack) Roteador Mesh Wifi6 Ax1500 Cobre Até 520m²,679.5,Sim,,,
Parafusadeira Furadeira De Impacto The Black Tools Profissional Tb-21px 2 Baterias Com Maleta 60hz Amarelo 127/220v,159.9,,,,
Lavadora De Alta Pressão Kärcher Compacta 1500psi 1400w,369,Sim,,,
Parafusadeira E Furadeira Com Impacto Wap Bpfi 12k4 Com Led De Iluminação Maleta Cinza 127/220v 50/60 Hz,136.79,,,,
Jogo De Soquetes Estriados Crique 1/2 8 A 32mm Robust Laranja,271.6,,,Sim,
Lavadora De Alta Pressão Compacta Wap Wl 1800 1400w 1500psi 360l/h 220v Amarelo 60 Hz,299,Sim,,Sim,
Kit Nível A Laser Verde 12 Linhas Esquadro + Suporte + Tripé,230,Sim,,Sim,
